Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
19.08	-3.996	
19.1	-5.292	
19.12	-6.48	
19.14	-7.704	
19.16	-8.82	
19.18	-10.008	
19.2	-11.016	
19.22	-12.024	
19.24	-12.924	
19.26	-13.788	
19.28	-14.58	
19.3	-15.3	
19.32	-15.948	
19.34	-16.488	
19.36	-16.956	
19.38	-17.352	
19.4	-17.64	
19.42	-17.82	
19.44	-17.928	
19.46	-17.964	
19.48	-17.892	
19.5	-17.748	
19.52	-17.496	
19.54	-17.172	
19.56	-16.74	
19.58	-16.272	
19.6	-15.696	
19.62	-15.012	
19.64	-14.364	
19.66	-13.608	
19.68	-12.708	
19.7	-11.772	
19.72	-10.872	
19.74	-9.792	
19.76	-8.676	
19.78	-7.596	
19.8	-6.444	
19.82	-5.22	
19.84	-4.032	
19.86	-2.736	
19.88	-1.404	
19.9	-0.144	
19.92	1.26	
19.94	2.52	
19.96	3.852	
19.98	5.22	
20	6.516	
20.02	7.848	
20.04	9.144	
20.06	10.404	
20.08	11.628	
20.1	12.816	
20.12	14.004	
20.14	15.156	
20.16	16.2	
20.18	17.244	
20.2	18.216	
20.22	19.116	
20.24	19.98	
20.26	20.772	
20.28	21.492	
20.3	22.14	
20.32	22.752	
20.34	23.256	
20.36	23.688	
20.38	24.048	
20.4	24.336	
20.42	24.516	
20.44	24.624	
20.46	24.66	
20.48	24.624	
20.5	24.48	
20.52	24.264	
20.54	23.976	
20.56	23.616	
20.58	23.184	
20.6	22.716	
20.62	22.14	
20.64	21.492	
20.66	20.772	
20.68	20.016	
20.7	19.152	
20.72	18.324	
20.74	17.352	
20.76	16.308	
20.78	15.264	
20.8	14.076	
20.82	12.96	
20.84	11.736	
20.86	10.548	
20.88	9.288	
20.9	7.992	
20.92	6.696	
20.94	5.292	
20.96	3.996	
20.98	2.664	
21	1.296	
21.02	-0.072	
21.04	-1.368	
21.06	-2.7	
21.08	-3.96	
21.1	-5.328	
21.12	-6.516	
21.14	-7.704	
21.16	-8.856	
21.18	-10.008	
21.2	-11.016	
21.22	-12.024	
21.24	-12.996	
21.26	-13.86	
21.28	-14.616	
21.3	-15.336	
21.32	-15.984	
