Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
22.88	2.484	
22.9	2.484	
22.92	2.484	
22.94	2.484	
22.96	2.484	
22.98	2.484	
23	2.484	
23.02	2.484	
23.04	2.484	
23.06	2.484	
23.08	2.484	
23.1	2.484	
23.12	2.484	
23.14	2.484	
23.16	2.484	
23.18	2.484	
23.2	2.484	
23.22	2.484	
23.24	2.484	
23.26	2.484	
23.28	2.484	
23.3	2.484	
23.32	2.484	
23.34	2.484	
23.36	2.484	
23.38	2.484	
23.4	2.484	
23.42	2.484	
23.44	2.484	
23.46	2.484	
23.48	2.484	
23.5	2.484	
23.52	2.484	
23.54	2.484	
23.56	2.484	
23.58	2.484	
23.6	2.484	
23.62	2.484	
23.64	2.484	
23.66	2.484	
23.68	2.484	
23.7	2.484	
23.72	2.484	
23.74	2.484	
23.76	2.484	
23.78	2.484	
23.8	2.484	
23.82	2.484	
23.84	2.484	
23.86	2.484	
23.88	2.484	
23.9	2.484	
23.92	2.484	
23.94	2.484	
23.96	2.484	
23.98	2.484	
24	2.484	
24.02	2.484	
24.04	2.484	
24.06	2.484	
24.08	2.484	
24.1	2.484	
24.12	2.484	
24.14	2.484	
24.16	2.484	
24.18	2.484	
24.2	2.484	
24.22	2.484	
24.24	2.484	
24.26	2.484	
24.28	2.484	
24.3	2.484	
24.32	2.484	
24.34	2.484	
24.36	2.484	
24.38	2.484	
24.4	2.484	
24.42	2.484	
24.44	2.484	
24.46	2.484	
24.48	2.484	
24.5	2.484	
24.52	2.484	
24.54	2.484	
24.56	2.484	
24.58	2.484	
24.6	2.484	
24.62	2.484	
24.64	2.484	
24.66	2.484	
24.68	2.484	
24.7	2.484	
24.72	2.484	
24.74	2.484	
24.76	2.484	
24.78	2.484	
24.8	2.484	
24.82	2.484	
24.84	2.484	
24.86	2.484	
24.88	2.484	
24.9	2.484	
24.92	2.484	
24.94	2.484	
24.96	2.484	
24.98	2.484	
25	2.484	
25.02	2.484	
25.04	2.484	
25.06	2.484	
25.08	2.484	
25.1	2.484	
25.12	2.484	
25.14	2.484	
25.16	2.484	
25.18	2.484	
25.2	2.484	
25.22	2.484	
25.24	2.484	
25.26	2.484	
25.28	2.484	
25.3	2.484	
25.32	2.484	
25.34	2.484	
25.36	2.484	
25.38	2.484	
25.4	2.484	
25.42	2.484	
25.44	2.484	
25.46	2.484	
25.48	2.484	
25.5	2.484	
25.52	2.484	
25.54	2.484	
25.56	2.484	
25.58	2.484	
25.6	2.484	
25.62	2.484	
25.64	2.484	
25.66	2.484	
25.68	2.484	
25.7	2.484	
25.72	2.484	
25.74	2.484	
25.76	2.484	
25.78	2.484	
25.8	2.484	
25.82	2.484	
25.84	2.484	
25.86	2.484	
25.88	2.484	
25.9	2.484	
25.92	2.484	
25.94	2.484	
25.96	2.484	
25.98	2.484	
26	2.484	
26.02	2.484	
26.04	2.484	
26.06	2.484	
26.08	2.484	
26.1	2.484	
26.12	2.484	
26.14	2.484	
26.16	2.484	
26.18	2.484	
26.2	2.484	
26.22	2.484	
26.24	2.484	
26.26	2.484	
26.28	2.484	
26.3	2.484	
26.32	2.484	
26.34	2.484	
26.36	2.484	
26.38	2.484	
26.4	2.484	
26.42	2.484	
26.44	2.484	
26.46	2.484	
26.48	2.484	
26.5	2.484	
26.52	2.484	
26.54	2.484	
26.56	2.484	
26.58	2.484	
26.6	2.484	
26.62	2.484	
26.64	2.484	
26.66	2.484	
26.68	2.484	
26.7	2.484	
26.72	2.484	
26.74	2.484	
26.76	2.484	
26.78	2.484	
26.8	2.484	
26.82	2.484	
26.84	2.484	
26.86	2.484	
26.88	2.484	
26.9	2.484	
26.92	2.484	
26.94	2.484	
26.96	2.484	
26.98	2.484	
27	2.484	
27.02	2.484	
27.04	2.484	
27.06	2.484	
27.08	2.484	
27.1	2.484	
27.12	2.484	
27.14	2.484	
27.16	2.484	
27.18	2.484	
27.2	2.484	
27.22	2.484	
27.24	2.484	
27.26	2.484	
27.28	2.484	
27.3	2.484	
27.32	2.484	
27.34	2.484	
27.36	2.484	
27.38	2.484	
27.4	2.484	
27.42	2.484	
27.44	2.484	
27.46	2.484	
27.48	2.484	
27.5	2.484	
27.52	2.484	
27.54	2.484	
27.56	2.484	
27.58	2.484	
27.6	2.484	
27.62	2.484	
27.64	2.484	
27.66	2.484	
27.68	2.484	
27.7	2.484	
27.72	2.484	
27.74	2.484	
27.76	2.484	
27.78	2.484	
27.8	2.484	
27.82	2.484	
27.84	2.484	
27.86	2.484	
27.88	2.484	
27.9	2.484	
27.92	2.484	
27.94	2.484	
27.96	2.484	
27.98	2.484	
28	2.484	
28.02	2.484	
28.04	2.484	
28.06	2.484	
28.08	2.484	
28.1	2.484	
28.12	2.484	
28.14	2.484	
28.16	2.484	
28.18	2.484	
28.2	2.484	
28.22	2.484	
28.24	2.484	
28.26	2.484	
28.28	2.484	
28.3	2.484	
28.32	2.484	
28.34	2.484	
28.36	2.484	
28.38	2.484	
28.4	2.484	
28.42	2.484	
28.44	2.484	
28.46	2.484	
28.48	2.484	
28.5	2.484	
28.52	2.484	
28.54	2.484	
28.56	2.484	
28.58	2.484	
28.6	2.484	
28.62	2.484	
28.64	2.484	
28.66	2.484	
28.68	2.484	
28.7	2.484	
28.72	2.484	
28.74	2.484	
28.76	2.484	
28.78	2.484	
28.8	2.484	
28.82	2.484	
28.84	2.484	
28.86	2.484	
28.88	2.484	
28.9	2.484	
28.92	2.484	
28.94	2.484	
28.96	2.484	
28.98	2.484	
29	2.484	
29.02	2.484	
29.04	2.484	
29.06	2.484	
29.08	2.484	
29.1	2.484	
29.12	2.484	
29.14	2.484	
29.16	2.484	
29.18	2.484	
29.2	2.484	
29.22	2.484	
29.24	2.484	
29.26	2.484	
29.28	2.484	
29.3	2.484	
29.32	2.484	
29.34	2.484	
29.36	2.484	
29.38	2.484	
29.4	2.484	
29.42	2.484	
29.44	2.484	
29.46	2.484	
29.48	2.484	
29.5	2.484	
29.52	2.484	
29.54	2.484	
29.56	2.484	
29.58	2.484	
29.6	2.484	
29.62	2.484	
29.64	2.484	
29.66	2.484	
29.68	2.484	
29.7	2.484	
29.72	2.484	
29.74	2.484	
29.76	2.484	
29.78	2.484	
29.8	2.484	
29.82	2.484	
29.84	2.484	
29.86	2.484	
29.88	2.484	
29.9	2.484	
29.92	2.484	
29.94	2.484	
29.96	2.484	
29.98	2.484	
30	2.484	
